"Predictor","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-8.52898112719157,0.82394996874113,-10.3513337590419,4.12695950341159e-25
"ppltrst",0.0904129695932148,0.0388217979050297,2.3289227823604,0.0198631567697745
"trstlgl",0.511222507100315,0.0523082462583929,9.77326795807629,1.46644040678692e-22
"stfdem",0.316723951447894,0.0611553229239351,5.17900873227069,2.23068029078762e-07
"stfedu",0.095103939916212,0.0484515390769815,1.96286726341361,0.04966159952018
"gndr2",0.251246368986489,0.150713551216612,1.66704564359569,0.0955053292733798
"agea",0.0070507042070136,0.00418681465369585,1.68402587413075,0.0921766684144119
"hinctnta",-0.00783755796789453,0.0295575237896006,-0.265162874389771,0.790883993425313
"stfeco",0.0903183904051709,0.0555258853763244,1.6265997343949,0.103822135780138
"medcrgvc",0.0401782112050983,0.0412366429291649,0.974332737854419,0.329891354638919
"education_group",-0.054431797314691,0.0795568111389015,-0.684187771423571,0.493856603109705
"fairelc",0.032578990099939,0.0580848726304506,0.560885969522805,0.574875275315729
