"trstplt","Frequency","Percentage","Cumulative_Percentage"
"0",11,1.04166666666667,1.04166666666667
"1",12,1.13636363636364,2.1780303030303
"2",39,3.69318181818182,5.87121212121212
"3",84,7.95454545454545,13.8257575757576
"4",107,10.1325757575758,23.9583333333333
"5",210,19.8863636363636,43.844696969697
"6",193,18.2765151515152,62.1212121212121
"7",232,21.969696969697,84.0909090909091
"8",122,11.5530303030303,95.6439393939394
"9",34,3.21969696969697,98.8636363636364
"10",12,1.13636363636364,100
